id, date_creation, titre, adresse1, code_postal, commune
011S0010002510,0001-01-01,VOIR NUMERO 0011002510 - SOCIETE DE CHASSE DE SONGIEU,024000,,
011S0011000062,0001-01-01,LA JEANNE DARC,011105,,01300
011S0011000115,0001-01-01,SOCIETE DE CHASSE DU HAUT-BUGEY,007000,,
011S0011000278,0001-01-01,VOIR Ndeg 4375 DISSOLUTION STATUTAIRE SOCIETE DES CHASSEURS DE MONTAGNIEU,Mairie,01470,MONTAGNIEU
011S0011000306,0001-01-01,ASSOCIATION COMMUNALE DE CHASSE DE SAULT-BRENAZ,013005,,01790
011S0011000473,0001-01-01,SKI-CLUB DE BELLEY,011155,,01300
011S0011000517,0001-01-01,LA BOULE DE CLAIRE-FONTAINE,Mairie,01150,SAINT-VULBAS
011S0011000543,0001-01-01,AMICALE DES SAPEURS POMPIERS DE TENAY,Mairie,01970,TENAY
011S0011000745,0001-01-01,LA BOULE TENAYSIENNE,Mairie,01970,TENAY
011S0011000879,0001-01-01,ASSOCIATION ASSOCIATI ASSOCIATION DISSOUTE DANS MULTILOG,,01110,HAUTEVILLE-LOMPNES
011S0011000970,0001-01-01,ORGANISME DE GESTION DE L ETABLISSEMENT CATHOLIQUE SAINTE MARIE,21 rue du pensionnat,01500,AMBERIEU-EN-BUGEY
011S0011001066,0001-01-01,AMICALE DES SAPEURS POMPIERS DE DOUVRES,036010,,01500
011S0011001148,0001-01-01,SOU DES ECOLES LAIQUES DEVOSGES,Ecole,01230,EVOSGES
011S0011001167,0001-01-01,CLUB ATHLETIQUE DE SAINT DENIS EN BUGEY,011075,,01780
011S0011001394,0001-01-01,AMICALE BOULE DE CHANAY,Mairie,01420,CHANAY
011S0011001535,0001-01-01,SOCIETE COMMUNALE DE CHASSE DE LILIGNOD,013005,,
011S0011001709,0001-01-01,LA BURBANCHE - JEUNESSE - LOISIRS,,01510,BURBANCHE
011S0011001860,0001-01-01,CENTRE AERE ET LOISIRS DU COLOMBIER,000000,,01350
011S0011002003,0001-01-01,OFFICE DU TOURISME - SYNDICAT DINITIATIVE DU CANTON DAMBERIEU-EN-BUGEY,023040,,01500
