identifiant_id;nom_de_l_organisme;adresse_de_l_organisme;code_postal;commune;lien_vers_la_ressource;description_des_contenus_et_de_l_experience_proposes_min_200_max_500_caracteres;si_enfants_merci_de_preciser_le_niveau_scolaire;titre_de_la_ressource;activite_proposee_apprendre_se_divertir_s_informer;public_cible;types_de_ressources_proposees;thematiques;contenus_adaptes_aux_types_de_handicap;temps_d_activite_estime_lecture_ecoute_visionnage_jeu;accessibilite_perennite_de_la_ressource;rattachement_de_l_organisme;autre_precisez;si_limite_dans_le_temps_precisez_jusqu_a_quelle_date;autres_precisez;geolocalisation_ban
590;Archives départementales - Cher;12, rue de Lazenay;18000;Bourges;http://www.archives18.fr/article.php?larub=532&titre=espace-culturel-et-pedagogique;Dossier pédagogiques, expositions à emprunter, expositions virtuelles;;Espace culturel et pédagogique;Approfondir ses connaissances;Parents / Éducateurs;Ressources pédagogiques;Archives;;Le temps d’un vrai déjeuner;Accès permanent;Collectivité territoriale;;;;47.071998, 2.398511
592;Archives départementales - Creuse;30bis rue Franklin Roosevelt;23000;Guéret;https://archives.creuse.fr/r/12/decouvrir/;Nombreuses ressources permettant d'écrire l'histoire du territoire et de ses habitants, par la mise en ligne de nombreux fonds numérisés (plus de 4,5 millions d’images d’état civil, presse ancienne, photographies...). Les expositions réalisées par le service, et les ressources pédagogiques associées, sont aussi disponibles, ainsi que des dossiers historiques.;;Archives en ligne;Approfondir ses connaissances;Tous publics;Images, collections numérisées, bases de données;Archives;;Le temps d’un vrai déjeuner;Accès permanent;Collectivité territoriale;;;;46.171658, 1.880891
595;Archives départementales - Haute-Garonne;11 boulevard Griffoul-Dorval;31400;Toulouse;https://archives.haute-garonne.fr/expositions/liste/n:257;4 expositions virtuelles créées à partir de différents documents écrits ou illustrés issus des fonds des Archives autour de thèmes variés en rapport avec l’histoire locale;;Expositions virtuelles;Expos, musées;Tous publics;Expositions virtuelles;Archives;Transcription textuelle,Audiodescription (AD),Jeu utilisant du HTML,Navigation au clavier,Facile à lire et à comprendre (FALC);Le temps d’un vrai déjeuner;Accès permanent;Collectivité territoriale;;;;43.589564, 1.460817
596;Archives départementales - Haute-Vienne;1 allée Alfred Leroux;87000;Limoges;http://archives.haute-vienne.fr/r/18/tresors-d-archives;<p>Trésors d'archives : sélection éditorialisée parmi près de 4 millions de pages numérisées, plusieurs expositions en ligne</p>;;Archives en ligne;Approfondir ses connaissances;Tous publics;Images, collections numérisées, bases de données;Archives;;Le temps d’un vrai déjeuner;Accès permanent;Collectivité territoriale;;;;45.817364, 1.236063
598;Archives départementales - Hautes-Alpes;22 route de Rambaud;05000;Gap;https://archives.hautes-alpes.fr/galerie/galerie/index/n:99;"Découverte de trois galeries de documents numérisés sous forme d'expositions virtuelles : affiches de la Première Guerre mondiale ; estampes japonaises de l’art ukiyo-e issues de la collection La Mazelière ; affiches publicitaires d'Achille Mauzan, affichiste gapençais.";;Dossiers thématiques et expositions virtuelles;Expos, musées;Tous publics;Images, collections numérisées, bases de données;Archives;;Le temps d’un vrai déjeuner;Accès permanent;Collectivité territoriale;;;;44.561261, 6.095896
601;Archives départementales - Hérault;Domaine départemental pierresvives, 907 rue du Professeur Blayac;34000;Montpellier;https://archives-dep-herault.yunow.app/8-jouons-avec-les-archives/320-menu;;Collège;Jouons avec les archives;Jeux;Enfants;Jeux;Archives;;Le temps d’un vrai déjeuner;Accès permanent;Collectivité territoriale;;;;43.623117, 3.831219
608;Archives départementales - Lot;Conseil départemental du Lot Avenue de l'Europe - Regourd BP 291;46005;Cahors;https://archives.lot.fr/r/24/expositions-virtuelles/;<p>Partez à la découverte virtuelle de personnalités ayant eu un rapport avec le Lot ou de thématiques ciblées à partir d'une sélection de documents figurés extraits de fonds ou collections conservés aux Archives : photographies, cartes postales, cartes et plans…</p>;;Expositions virtuelles (archives en ligne);Approfondir ses connaissances;Tous publics;Images, collections numérisées, bases de données,Expositions virtuelles;Archives;;Le temps d’une soirée;Accès permanent;Collectivité territoriale;;;;48.728285, 2.256106
610;Archives départementales - Meuse;26 rue d'Aunois;55000;Bar-le-Duc;http://archives.meuse.fr/search/home;"Consultation des documents d’archives numérisés : les registres paroissiaux et d’état civil; les plans cadastraux du XIXème siècle ; anciennes éditions de la presse locale ; des ouvrages de la Bibliothèque bénédictine de Saint-Mihiel, généalogie,...";;Archives en ligne;Approfondir ses connaissances;Tous publics;Images, collections numérisées, bases de données;Archives;;Le temps d’une soirée;Accès permanent;Collectivité territoriale;;;;48.758589, 5.156061
615;Archives départementales - Saône-et Loire;Place des Carmélites - CS 70126;71026;Mâcon;https://www.archives71.fr/article.php?larub=29#;Pour découvrir l’histoire de la Saône-et-Loire, réaliser des recherches généalogiques, historiques, s’amuser, les Archives départementales vous proposent d’accéder en ligne gratuitement à des millions de données et activités culturelles.;;Archives en ligne;Approfondir ses connaissances;Tous publics;Images, collections numérisées, bases de données,Livres numériques,Jeux,Expositions virtuelles;Archives;;Le temps d’une soirée;Accès permanent;Collectivité territoriale;;;;46.308133, 4.834467
622;Archives départementales - Vaucluse;Palais des Papes;84000;Avignon;https://archives.vaucluse.fr/mes-recherches/les-inventaires-en-ligne-1659.html;<p>Vous voulez faire des recherches historiques ? Ou simplement regarder des images, découvrir un document ou encore jouer ? Rendez-vous sur le site des archives départementales de Vaucluse. Des images de documents, des instruments de recherche sont consultables. Des dossiers pédagogiques sont téléchargeables. Des albums sont à feuilleter et des jeux à télécharger ou à faire en ligne.</p>;;Archives en ligne;Approfondir ses connaissances;Tous publics;Images, collections numérisées, bases de données,Expositions virtuelles;Archives;;Le temps d’une soirée;Accès permanent;Collectivité territoriale;;;;43.950861, 4.806236
