reference_de_la_notice;region;commune;adresse_forme_editoriale;coordonnees;titre_courant;departement_en_lettres
ACR0000002;Auvergne-Rhône-Alpes;Valserhône;34 rue de la République;"46.1077711035412, 5.825944937722621";Hôtel de ville;Ain
ACR0000004;Auvergne-Rhône-Alpes;Injoux-Génissiat;route du Barrage rue Marcel-Paul;"46.051822, 5.803728";"Centrale hydroélectrique, centrale hydroélectrique et barrage dits barrage de Génissiat";Ain
ACR0000006;Auvergne-Rhône-Alpes;Leaz;"ligne de Longeray-Bouveret (104, 147 km)";"46.097498, 5.883259";Viaduc ferroviaire de Longeray;Ain
ACR0000008;Auvergne-Rhône-Alpes;Segny;route Blanche;"46.297111, 6.074316";Église Notre-Dame de la Route Blanche;Ain
ACR0000009;Auvergne-Rhône-Alpes;Berrias-et-Casteljau;;"44.401832, 4.208299";"""Station de villégiature, village vacances Famille, dit complexe touristique - V.V.F. ""  Lou Castel """"";Ardèche
ACR0000029;Auvergne-Rhône-Alpes;Annecy;avenue de Parmelan / rue des Sœurs Blanches / rue Thomas-Raphy / boulevard du Lycée;"45.9064432770822, 6.13259055610414";centre commercial des Galeries Lafayette et parking;Haute-Savoie
ACR0000030;Auvergne-Rhône-Alpes;Annecy;avenue d'Albigny;"45.9060895722182, 6.142999240674311";Église Sainte-Bernadette;Haute-Savoie
ACR0000043;Auvergne-Rhône-Alpes;Cruseilles;péage de Cruseilles  pont de la route nationale 201 sur les Usses;"46.013850109075, 6.11182249027211";"pont dit, pont de la Caille dit aussi pont sur les Usses";Haute-Savoie
ACR0000046;Auvergne-Rhône-Alpes;Megève;44 chemin de l’Hermine-Blanche;"45.8568321220464, 6.62306139649481";"""maison dite chalet ""Le Cairn""""";Haute-Savoie
ACR0000047;Auvergne-Rhône-Alpes;Megève;51 chemin des Perchets;"45.85491562719681, 6.61812302717977";"""maison dite chalet ""La Croix-des-Perchets""""";Haute-Savoie
ACR0000055;Auvergne-Rhône-Alpes;Passy;171 route de Praz Coûtant;"45.9467064857958, 6.719183582088691";"sanatorium de Praz-Coutant, actuellement centre médical spécialisé";Haute-Savoie
ACR0000065;Auvergne-Rhône-Alpes;Grenoble;26 rue du Colonel-Dumont / rue de l' Aigle;"45.1815, 5.719506";"""brosserie de poils animal naturels dit ""Immeuble Mercure""""";Isère
ACR0000072;Auvergne-Rhône-Alpes;Grenoble;boulevard Joseph-Vallier;"45.180164, 5.710599";Église paroissiale Saint-Jean-l'Evangéliste;Isère
ACR0000073;Auvergne-Rhône-Alpes;Grenoble;117-127 rue des Alliés;"45.173818, 5.716253";"halle, marché de gros dit Marché d'Intérêt national";Isère
ACR0000076;Auvergne-Rhône-Alpes;Grenoble;4 rue Paul-Claudel;"45.17229, 5.7336160000000005";maison de la culture dite Le Cargo;Isère
ACR0000077;Auvergne-Rhône-Alpes;Grenoble;401 avenue Innsbruck;"45.155313, 5.734241";palais d'exposition dit Alpexpo;Isère
ACR0000082;Auvergne-Rhône-Alpes;Tronche (La);rue Jean-de-La-Fontaine;;Église Notre-Dame-du-Rosaire;Isère
ACR0000083;Auvergne-Rhône-Alpes;Verpillère (La);chemin couvent scolaire des Maristes;"45.629051, 5.151152";Externat Sainte-Marie;Isère
ACR0000088;Auvergne-Rhône-Alpes;Saint-Ismier;rue Doyen-Gosse / 90 route nationale;"45.255514, 5.839918";"""monument, mémorial dit ""Mémorial Doyen-Gosse""""";Isère
ACR0000096;Auvergne-Rhône-Alpes;Feurs;Émile-Zola (rue) rue Voltaire (rue);"45.742751, 4.234237";Résidence La Chartreuse (I.L.N.);Loire
ACR0000114;Auvergne-Rhône-Alpes;Clermont-Ferrand;34 avenue Carnot;"45.7761160198127, 3.09231912717753";Faculté des Sciences et des Lettres;Puy-de-Dôme
ACR0000123;Auvergne-Rhône-Alpes;Bron;5 avenue Pierre-Mendès-France / avenue de l'Université;"45.7201130546524, 4.91818696840983";"université, faculté des lettres et sciences humaines, dite faculté de Bron ou Université Lumière Lyon II";Rhône
ACR0000125;Auvergne-Rhône-Alpes;Caluire-et-Cuire;28 rue Jean-Moulin;"45.7978487992217, 4.84488641969503";poste;Rhône
ACR0000132;Auvergne-Rhône-Alpes;Lyon;Antonin-Poncet (place) 10;"45.7559467071673, 4.83402645601261";Poste centrale place Antonin Poncet;Rhône
ACR0000136;Auvergne-Rhône-Alpes;Lyon;Albert-Thomas (cours) 4;"45.7477704544823, 4.86034144251924";"usine de tabac dite manufacture des tabacs, actuellement université Lyon III";Rhône
ACR0000137;Auvergne-Rhône-Alpes;Lyon;Grande-rue de la Croix-Rousse (rue) 90;"45.7807527816995, 4.833369608223";théâtre de la Croix-Rousse;Rhône
ACR0000144;Auvergne-Rhône-Alpes;Lyon;Saint-Lazare (rue) 13;"45.74806279049131, 4.846899911740931";immeuble Rostagnat;Rhône
ACR0000145;Auvergne-Rhône-Alpes;Lyon;Jean-Jaurès (avenue) 350;"45.7242685377119, 4.82852378484729";palais des sports;Rhône
ACR0000148;Auvergne-Rhône-Alpes;Lyon;Villon (rue) 45-47-49;"45.7429418529351, 4.86513815416284";"hôpital dit, clinique Auguste-Lumière, actuellement Direction des Affaires techniques des Hospices civils de Lyon";Rhône
ACR0000154;Auvergne-Rhône-Alpes;Vaulx-en-Velin;chemin de la Poudrette / rue Alfred-de-Musset / avenue Roger-Salengro;"45.7611371862975, 4.92218559572094";"cité ouvrière, dite cité de la Soie (grande cité, petite cité, 3 villas de directeurs, Usine Tase)";Rhône
ACR0000163;Auvergne-Rhône-Alpes;Aime-la-Plagne;;;"immeuble, dit le Paquebot des neiges";Savoie
ACR0000175;Auvergne-Rhône-Alpes;Chambéry;chemin de la Chevalière / chemin de Chamoux / allée des Cimmes / route de l'Épine;"45.5810020339846, 5.88592790508294";Ensemble de logements dit La Chevalière;Savoie
ACR0000177;Auvergne-Rhône-Alpes;Fourneaux;place de l'Église;"45.1897385096212, 6.6503953455749";Église Notre-Dame;Savoie
ACR0000179;Auvergne-Rhône-Alpes;Allues (Les);;"45.397355298714, 6.56521262842136";"""station de sports d'hiver dite ""Méribel-les-Allues""""";Savoie
