numinstallation;nominstallation;adresse;codepostal;commune;typequipement;latitude;longitude
I180290001;ZONE SPORTIVE PLACE DE L'EGLISE;Place de l'Eglise;18210;Bessais-le-Fromental;Terrain de pétanque;46.74679;2.76207
I180290001;ZONE SPORTIVE PLACE DE L'EGLISE;Place de l'Eglise;18210;Bessais-le-Fromental;Parcours sportif/santé;46.74667602;2.7612698
I180290002;BASE DE LOISIRS DE GOULE;Champ de la Croix Goule;18210;Bessais-le-Fromental;Terrain de soccer;46.736242;2.79648
I180290002;BASE DE LOISIRS DE GOULE;Champ de la Croix Goule;18210;Bessais-le-Fromental;Site d'activités aquatiques et nautiques;46.73428;2.79834
I180290002;BASE DE LOISIRS DE GOULE;Champ de la Croix Goule;18210;Bessais-le-Fromental;Site de pêche;46.73428;2.79834
I180290002;BASE DE LOISIRS DE GOULE;Champ de la Croix Goule;18210;Bessais-le-Fromental;Terrain de pétanque;46.7359194;2.796159
I180340001;CHEMINS DE RANDONNEE;Place du village;18200;Bouzais;Boucle de randonnée;46.71288;2.47431
I180340002;SALLE DES FETES;Rue des Maisons blanches Le Bourg;18200;Bouzais;Terrain de basket-ball;46.70477;2.47894
I180340002;SALLE DES FETES;Rue des Maisons blanches Le Bourg;18200;Bouzais;Terrain de pétanque;46.70479;2.47917
I180520001;TERRAINS DE TENNIS;Route Neuve;18210;Charenton-du-Cher;Court de tennis;46.73056;2.64363
I180520002;PARC DES SPORTS;Rue du stade;18210;Charenton-du-Cher;Dojo / Salle d'arts martiaux;46.73201;2.6459
I180690001;STADE;Rue du Stade;18200;Colombiers;Multisports/City-stades;46.70038;2.543351
I180690002;CHEMINS DE RANDONNEE;Place de la mairie;18200;Colombiers;Boucle de randonnée;46.7007;2.53982
I180690002;CHEMINS DE RANDONNEE;Place de la mairie;18200;Colombiers;Boucle de randonnée;47.56786;2.30507
I180760001;CHEMINS DE RANDONNEE;place de la mairie route d'Ainay;18210;Coust;Boucle de randonnée;46.6909;2.59316
I180760001;CHEMINS DE RANDONNEE;place de la mairie route d'Ainay;18210;Coust;Boucle de randonnée;46.67461;2.60497
I180860002;CHEMINS DE RANDONNEE;PLACE DE L'EGLISE;18200;Drevant;Boucle de randonnée;46.69343;2.52419
I181360002;STADE;;18170;Marçais;Court de tennis;46.69755;2.37587
I181690001;TERRAIN DE TENNIS;50 Route du Champs des Dames Les Maisons;18200;Nozières;Court de tennis;46.72951;2.38794
I181710003;CHEMINS DE RANDONNEE;Place de l'Eglise;18200;Orcenais;Boucle de randonnée;46.71705;2.42505
I181720002;COMPLEXE SPORTIF MAURICE TROMPEAU;Avenue de Sully;18200;Orval;Terrain mixte;46.72532;2.47268
