annee;id_museofile;region;commune;nom_du_musee;titre_de_l_exposition;departement;url;coordonnees
2024;M0131;Bourgogne Franche-Comté;Alise-Sainte-Reine;musée Alésia - centre d'interprétation;Ô Sport, Des jeux pour des dieux;Côte-d'Or;www.alesia.com;47.536592, 4.469595
2024;M0332;Bourgogne Franche-Comté;Besançon;musée des beaux-arts et d’archéologie;MADE IN GERMANY. Peintures germaniques des collections françaises (1500-1550);Doubs;www.mbaa.besancon.fr/;47.240055, 6.022938
2024;M0205;Bretagne;Pont-Aven;musée de Pont-Aven;À l’œuvre ! Femmes chez les Nabis : Vuillard, Denis, Sérusier…;Finistère;www.museepontaven.fr/fr/;47.855497, -3.747155
2024;M0416;Île-de-France;Saint-Cloud;musée des Avelines;Eugène Carrière (1849-1906), de tendresse et d’amitié;Hauts-de-Seine;www.musee-saintcloud.fr/;48.842497, 2.208286
2024;M1069;La Réunion;Saint-Denis de La Réunion;musée Léon Dierx;Les Modernes, la peinture réunionnaise de 1925 à 1946;La Réunion;www.departement974.fr/actualite/musee-leon-dierx-musee-de-france-patrimoine-departemental;-20.883698, 55.450251
2024;M7040;Nouvelle-Aquitaine;La Rochelle;muséum d’histoire naturelle et d'ethnographie;Vanuatu : pouvoirs des femmes;Charente-Maritime;museum.larochelle.fr/;46.164822, -1.151488
2023;M0491;Occitanie;Perpignan;musée Hyacinthe Rigaud;Guino-Renoir, la couleur de la sculpture;Pyrénées-Orientales;www.musee-rigaud.fr/fr;42.698013, 2.892984
2022;M0094;Nouvelle-Aquitaine;Bayonne;musée Bonnat-Helleu, musée des Beaux-Arts de Bayonne;Léon Bonnat (1833-1922), la beauté et le pouvoir;Pyrénées-Atlantiques;webmuseo.com/ws/musee-bonnat-helleu/app/report/index.html;43.492108, -1.472299
2022;M0476;Occitanie;Montpellier;musée Fabre;Un voyage en Italie, Louis Gauffier (1762-1801);Hérault;museefabre.montpellier3m.fr/;43.61135, 3.880685
2022;M7013;Occitanie;Toulouse;muséum d'histoire naturelle;Momies, corps préservés, corps éternels;Haute-Garonne;www.museum.toulouse.fr/;43.594189, 1.448945
2022;M0743;Pays-de-la-Loire;Nantes;musée d'arts;Le Voyage en train;Loire-Atlantique;museedartsdenantes.nantesmetropole.fr/home.html;47.219276, -1.547096
2022;M0901;Provence-Alpes-Côte d’Azur;Arles;musée de l'Arles Antique;Trésors du fond des mers, un patrimoine archéologique en danger;Bouches-du-Rhône;www.arles-antique.departement13.fr/;43.672753063626814, 4.617175830175759
2022;M0920;Provence-Alpes-Côte d’Azur;Marseille;musée des Arts Africains, Océaniens et Amérindiens;Objets migrateurs;Bouches-du-Rhône;musees.marseille.fr/musee-darts-africains-oceaniens-amerindiens-maaoa;43.300172, 5.367602
2021;M1079;Occitanie;Saint-Jean-du-Gard;maison rouge - musée des vallées cévenoles;Conter, chanter, raconter - la tradition orale en Cévennes;Gard;www.maisonrouge-musee.fr/;44.104188, 3.887004
2021;M0884;Provence-Alpes-Côte d’Azur;Nice;musée Matisse;Pierre Matisse, un marchand d'art à New York;Alpes-Maritimes;www.musee-matisse-nice.org/fr/;43.720041, 7.276769
2020;M1024;Auvergne-Rhône-Alpes;Saint-Étienne;musée d'art moderne et contemporain;Robert Morris : the Perceiving body - Le Corps perceptif;Loire;mamc.saint-etienne.fr/fr;45.46964793515552, 4.374526863293208
2020;M1078;La Réunion;Saint-Louis;musée des arts décoratifs de l'Océan indien;Résonnances - La Vie quotidienne à Bourbon au XVIIIe siècle;Réunion;museesreunion.fr/madoi/;-21.26765, 55.411839
2020;M1097;Nouvelle-Aquitaine;Lussac-les-Châteaux;musée de préhistoire;Les Gravures de la Marche, images d'outre-temps;Vienne;www.lasabline.fr/musee-de-prehistoire;46.403482, 0.725666
2020;M0455;Occitanie;Nîmes;musée de la Romanité;L'Empereur romain. Un mortel parmi les dieux;Gard;museedelaromanite.fr/;43.837616, 4.362815
2020;M1192;Pays-de-la-Loire;Le Mans;musée vert Véron-de-Forbonnais;Clair comme du cristal. Minéralogie du Massif armoricain;Sarthe;www.lemans.fr/dynamique/des-idees-de-visite/les-musees/le-musee-vert/;47.986868, 0.208417
2019;M0271;Centre-Val-de-Loire;Blois;château musées;Enfants de la Renaissance;Loir-et-Cher;www.chateaudeblois.fr/2120-le-musee.htm;47.585598, 1.331665
2018;M1031;Auvergne-Rhône-Alpes;Lyon;musée des beaux-arts;L'Empereur Claude;Rhône;www.mba-lyon.fr/fr;45.767177, 4.833576
2018;M0529;Grand-Est;Metz;musées de la Cour d'or;Splendeurs du Christianisme. Art et dévotion de Liège à Turin (Xe – XVIIIe siècles);Moselle;musee.metzmetropole.fr/;49.121051, 6.177978
2018;M0578;Occitanie;Figeac;musée Champollion;Île de Pâques, les bois parlants;Lot;ville-figeac.fr/culture-sport-loisirs/musee-champollion/informations-pratiques;44.609472, 2.034599
2018;M0551;Occitanie;Rodez;musée Fenaille;Île de Pâques, l’ombre des dieux;Aveyron;musee-fenaille.rodezagglo.fr/;44.349201, 2.576408
2017;M0988;Auvergne-Rhône-Alpes;Valence;musée des beaux-arts;Rétrospective Jean Le Moal (1909 – 2007);Drôme;www.museedevalence.fr/;44.931125, 4.889563
2017;M0798;Hauts-de-France;Beauvais;MUDO - musée de l'Oise;Heures italiennes, Trésors de la peinture italienne en Picardie;Oise;mudo.oise.fr/;49.432788, 2.080444
2017;M0067;Nouvelle-Aquitaine;Bordeaux;CAPC-musée d'Art Contemporain;Beatriz Gonzalez;Gironde;www.capc-bordeaux.fr;44.848186, -0.572137
2017;M7040;Nouvelle-Aquitaine;La Rochelle;muséum d'histoire naturelle et d'ethnographie;Jean Jacques Audubon, dessins de jeunesse;Charente-Maritime;museum.larochelle.fr/;46.164822, -1.151488
2016;M1012;Auvergne-Rhône-Alpes;Chazelles-sur-Lyon;musée du chapeau;Le ruban, c’est la Mode. Côté chapeaux;Loire;www.museeduchapeau.com/;45.638304, 4.394089
2016;M0028;Grand-Est;Colmar;musée Unterlinden;Otto Dix et le Retable d’Issenheim;Haut-Rhin;www.musee-unterlinden.com/;48.079918, 7.355464
2016;M0643;Hauts-de-France;Boulogne-sur-Mer;musée de Boulogne-sur-Mer;Alaska. Passé/Présent;Pas-de-Calais;musee.ville-boulogne-sur-mer.fr/;50.725617, 1.616349
2016;M0639;Hauts-de-France;Villeneuve d'Ascq;LaM musée d’art moderne, d’art contemporain et d’art brut;Amedeo Modigliani. Une rétrospective;Nord;www.musee-lam.fr/fr;50.637497, 3.148587
2016;M0765;Pays-de-la-Loire;Jublains;musée archéologique départemental;Villes gauloises;Mayenne;museedejublains.fr/;48.255526, -0.496863
2015;M0617;Hauts-de-France;Cassel;musée départemental de Flandre;La Flandre et la mer;Nord;museedeflandre.fr/;50.799755, 2.48621
2015;M0729;Normandie;Rouen;musée des beaux-arts;Sienne aux origines de la renaissance;Seine-Maritime;mbarouen.fr/fr;49.444957582036025, 1.093907740011714
2014;M0627;Hauts-de-France;Le Cateau-Cambrésis;musée Henri Matisse;Jean Dewasne, la couleur construite. De l’Antisculpture à l’architecture;Nord;museematisse.fr/;50.105684, 3.541175
2014;M0406;Île-de-France;Boulogne-Billancourt;musée des années trente;Tourbillonnante Joséphine Baker;Hauts-de-Seine;www.boulognebillancourt.com/loisirs/culture/les-musees/musee-des-annees-trente;48.834945, 2.241177
2014;M0472;Occitanie;Lattes;musée archéologique;Les Iapodes : trésors du musée archéologique de Zagreb;Hérault;museearcheo.montpellier3m.fr/;43.566659, 3.90858
2024;M0211;Bretagne;Rennes;musée des beaux-arts;Aérosol. Histoire(s) de graffiti;Ille-et-Vilaine;mba.rennes.fr;48.109837, -1.674981
2024;M0238;Centre-Val-de-Loire;Chartres;musée des beaux-arts;En chair et en os. Paul Richer entre art et médecine;Eure-et-Loir;www.chartres.fr/patrimoine-historique/le-musee-des-beaux-arts/;48.447624, 1.486763
2024;M0301;Grand-Est;Nogent-sur-Seine;musée Camille Claudel;Camille Claudel à l’œuvre : Sakountala;Aube;www.museecamilleclaudel.fr/fr;48.494242, 3.500892
2024;M0677;Normandie;Cherbourg-en-Cotentin;musée Thomas-Henry;Prédictions. Les artistes face à l’avenir;Manche;www.cherbourg.fr/infos-services/culture-et-loisirs/musees/musee-thomas-henry-318.html;49.638452, -1.625439
2024;M1214;Occitanie;Narbonne;musée Narbo Via;Escale en Méditerranée romaine. Le port antique de Narbonne;Aude;narbovia.fr/;43.17593363663495, 3.0261852745179603
2024;M0759;Pays-de-la-Loire;Saumur;château-musée de Saumur;Buvons ! La faïence raconte le vin;Maine-et-Loire;www.chateau-saumur.fr;47.25728921356893, -0.07191750412095592
2023;M0238;Centre-Val-de-Loire;Chartres;musée des beaux-arts;Un peuple oublié. Paul Richer, Jules Dalou et la sculpture du travail;Eure-et-Loir;www.chartres.fr/patrimoine-historique/le-musee-des-beaux-arts/;48.447624, 1.486763
2023;M0286;Centre-Val-de-Loire;Orléans;musée des beaux-arts;Jean Bardin (1732-1809), le feu sacré;Loiret;www.orleans-metropole.fr/culture/musees-expositions/le-musee-des-beaux-arts;47.901573, 1.90861
2023;M1171;Île-de-France;Meaux;musée de la Grande Guerre;Infirmières, héroïnes silencieuses de la Grande Guerre;Seine-et-Marne;www.museedelagrandeguerre.com/;48.955281, 2.901461
2023;M0384;Île-de-France;Saint-Cyr-sur-Morin;musée des pays de Seine-et-Marne;Le monde ovale de Pierre Mac Orlan;Seine-et-Marne;www.musee-seine-et-marne.fr/fr;48.90803, 3.18169
2023;M0703;Normandie;Évreux;musée d'art, histoire et archéologie;Voyage sacré, sacré voyage : du site de Gisacum au musée d’Évreux;Eure;evreux.fr/sortir/culture/musee-evreux/;49.023998, 1.1502
2023;M0718;Normandie;Le Havre;musée de l'Ancien Havre;Esclavage, mémoires normandes : Fortunes et servitudes;Seine-Maritime;www.lehavre.fr/que-faire-au-havre/hotel-dubocage-de-bleville;49.488805, 0.114474
2023;M0724;Normandie;Lillebone;musée municipal;Qui es-tu Apollon ? De Juliobona à la culture pop;Seine-Maritime;musee-juliobona.fr/;49.517842, 0.535803
2023;M0067;Nouvelle-Aquitaine;Bordeaux;CAPC-musée d'Art Contemporain;Jean Sabrier, ce qu’on ne voit pas;Gironde;www.capc-bordeaux.fr;44.848186, -0.572137
2023;M7013;Occitanie;Toulouse;muséum d'histoire naturelle;Sex Appeal;Haute-Garonne;www.museum.toulouse.fr/;43.594189, 1.448945
2022;M0106;Auvergne-Rhône-Alpes;Moulins-sur-Allier;musée Anne de Beaujeu;Anne de Beaujeu;Allier;musees.allier.fr/410-presentation.htm;46.56707, 3.331218
2021;M1070;La Réunion;Saint-Gilles-les-Hauts;musée de Villèle;Résonances : sur les traces d'un Créole de Bourbon en visite à Paris au temps de Louis XVI;La Réunion;www.musee-villele.re/fr/;-21.055917761556145, 55.264409385729984
2020;M0308;Grand-Est;Châlons-en-Champagne;musée Garinet;Léon Bourgeois;Marne;www.chalonsenchampagne.fr/culture-et-tourisme/a-votre-service/musees-municipaux;48.955859, 4.366501
2020;M0384;Île-de-France;Saint-Cyr-sur-Morin;musée des pays de Seine-et-Marne;Des peintres essentiels pour Mac Orlan;Seine-et-Marne;www.musee-seine-et-marne.fr/fr;48.90803, 3.18169
2020;M0915;Provence-Alpes-Côte d’Azur;Marseille;musée Cantini (commissariat) et Centre de la Vieille Charité (lieu d’exposition);Le Surréalisme dans l'art Américain;Bouches-du-Rhône;musees.marseille.fr/musee-cantini-0;43.292383, 5.378137
2019;M0627;Hauts-de-France;Le Cateau-Cambrésis;musée Henri Matisse;Devenir Matisse - Ce que les maîtres ont de meilleur;Nord;museematisse.fr/;50.105684, 3.541175
2019;M0841;Nouvelle-Aquitaine;Niort;musée Bernard d'Agesci;Bernard d'Agesci (1756-1829) / Forgeur d'histoires à Niort;Deux-Sèvres;www.niortagglo.fr/fr/sortir-visiter/patrimoine-et-musees/musee-bernard-dagesci/index.html;46.321065, -0.454107
2019;M0506;Nouvelle-Aquitaine;Rochechouart;musée départemental d'art contemporain, château de Rochechouart;Raoul Hausmann et les poésies expérimentales;Haute-Vienne;www.musee-rochechouart.com/index.php/fr/;45.822521, 0.820506
2019;M0566;Occitanie;Toulouse;Les Abattoirs, musée d'art moderne et contemporain;Peter Saul : Pop, Funk, Bad Painting and more;Haute-Garonne;www.lesabattoirs.org;43.600678, 1.428998
2018;M0963;Auvergne-Rhône-Alpes;Bourg-en-Bresse;musée de Brou;Primitifs flamands trésors de Marguerite d’Autriche;Ain;www.monastere-de-brou.fr/#;46.196549, 5.236521
2018;M0342;Bourgogne-Franche-Comté;Arbois;musée de la vigne et du vin;Pasteur à l’œuvre. Ses manuscrits inédits;Jura;www.arbois.fr/musee-de-la-vigne-et-du-vin-du-jura.htm;46.902412, 5.773686
2018;M1171;Île-de-France;Meaux;musée de la Grande Guerre;Familles à l’épreuve de la guerre;Seine-et-Marne;www.museedelagrandeguerre.com/;48.955281, 2.901461
2017;M0983;Auvergne-Rhône-Alpes;Grignan;musée départemental du château;Sévigné, épistolière du Grand Siècle;Drôme;www.chateaux-ladrome.fr/fr/;44.439013, 4.873189
2017;M0211;Bretagne;Rennes;musée des beaux-arts;"Le fabuleux destin des tableaux de l’abbé Desjardins ; Peintures françaises des XVIIe et XVIIIe siècles des églises et musées de Québec";Ille-et-Vilaine;mba.rennes.fr;48.109837, -1.674981
2017;M0820;Nouvelle-Aquitaine;Angoulême;"musée de la bande dessinée - centre national de la bande dessinée et de l'image";Will Eisner, génie de la bande dessinée américaine;Charente;www.citebd.org/;45.65559977477438, 0.15122268049296822
2017;M0476;Occitanie;Montpellier;musée Fabre;Francis Bacon et Bruce Nauman. Face à face.;Hérault;museefabre.montpellier3m.fr/;43.61135, 3.880685
2017;M0900;Provence-Alpes-Côte d’Azur;Arles;musée Réattu;Jacques Réattu, Arelatensis - Un rêve d'artiste;Bouches-du-Rhône;www.museereattu.arles.fr/;43.679186, 4.627903
2016;M1052;Auvergne-Rhône-Alpes;Annecy;musée-château;Les vies de château;Haute-Savoie;musees.annecy.fr/;45.897263, 6.124916
2016;M1031;Auvergne-Rhône-Alpes;Lyon;musée des beaux-arts;Matisse en noir et blanc;Rhône;www.mba-lyon.fr/fr;45.767177, 4.833576
2016;M1023;Auvergne-Rhône-Alpes;Saint-Étienne;musée d'art et d'industrie;Le ruban, c’est la mode;Loire;www.musee-art-industrie.saint-etienne.fr/;45.431538, 4.387485
2016;M0514;Grand-Est;Nancy;musée historique lorrain;La Lorraine pour horizon. La France et les duchés de René II à Stanislas;Meurthe-et-Moselle;www.musee-lorrain.nancy.fr/;48.697316, 6.179154
2016;M0617;Hauts-de-France;Cassel;musée départemental de Flandre;L’Odyssée des animaux – Les peintres animaliers flamands au XVII ème siècle;Nord;museedeflandre.fr/;50.799755, 2.48621
2016;M0418;Île-de-France;Suresnes;MUS - musée d'histoire urbaine et sociale de Suresnes;Histoire du Grand-Paris;Hauts-de-Seine;webmuseo.com/ws/musee-suresnes/app/report/index.html;48.868303, 2.221944
2016;M0720;Normandie;Le Havre;musée Malraux;Eugène Boudin – L’atelier de la lumière - Normandie Impressionniste (3e édition);Seine-Maritime;www.muma-lehavre.fr/;49.484796, 0.102188
2016;M0733;Normandie;Rouen;musée des antiquités de la Seine-Maritime;Trésors enluminés de France. Normandie et Bretagne;Seine-Maritime;museedesantiquites.fr/fr;49.447268, 1.098932
2016;M0506;Nouvelle-Aquitaine;Rochechouart;musée départemental d'art contemporain, château de Rochechouart;Raoul Hausmann dadasophe;Haute-Vienne;www.musee-rochechouart.com/index.php/fr/;45.822521, 0.820506
2016;M0901;Provence-Alpes-Côte d’Azur;Arles;musée de l'Arles Antique;Savoir et pouvoir à l’époque de Ramsès II, Khaemouaset, le prince archéologue.;Bouches-du-Rhône;www.arles-antique.departement13.fr/;43.672753063626814, 4.617175830175759
2016;M0877;Provence-Alpes-Côte d’Azur;Grasse;musée international de la parfumerie;De la belle époque aux années folles, la parfumerie au tournant du XXième siècle;Alpes-Maritimes;www.museesdegrasse.com/presentation-du-musee-0;43.658385, 6.922
2016;M0918;Provence-Alpes-Côte d’Azur;Marseille;musée d'histoire de Marseille;Plongée au coeur de l’archéologie sous-marine française;Bouches-du-Rhône;musees.marseille.fr/musee-dhistoire-de-marseille-mhm;43.298168, 5.374162
2015;M0211;Bretagne;Rennes;musée des beaux-arts;Gilles Aillaud 1928-2005;Ille-et-Vilaine;mba.rennes.fr;48.109837, -1.674981
2015;M0513;Grand-Est;Nancy;musée de l'Ecole de Nancy;Ceux qui vivent ce sont ceux qui luttent;Meurthe-et-Moselle;www.ecole-de-nancy.com/web/;48.680494, 6.166351
2015;M1177;Hauts-de-France;Calais;cité internationale de la dentelle et de la mode;Cristobal Balenciaga, maître de la dentelle et de l’élégance;Pas-de-Calais;www.cite-dentelle.fr/fr/accueil;50.950474, 1.860013
2015;M0658;Normandie;Caen;Musée de Normandie;Dans les pas de Néandertal, les premiers hommes de Normandie, de 500 000 à 5 000 avant notre ère;Calvados;musee-de-normandie.caen.fr/;49.18578, -0.36257
2014;M0963;Auvergne-Rhône-Alpes;Bourg-en-Bresse;musée de Brou;"L‘invention du passé. ""Gothique mon amour"" 1802-1830";Ain;www.monastere-de-brou.fr/#;46.196549, 5.236521
2014;M0120;Auvergne-Rhône-Alpes;Clermont-Ferrand;musée Bargoin;Tumulte gaulois : réalités et représentations;Puy-de-Dôme;www.clermontmetropole.eu/bouger-se-divertir/le-dynamisme-culturel/les-musees-de-clermont-auvergne-metropole/musee-bargoin/;45.774229, 3.0869
2014;M1031;Auvergne-Rhône-Alpes;Lyon;musée des beaux-arts;L'invention du passé : histoires de cœur et d'épée en Europe, 1802-1850;Rhône;www.mba-lyon.fr/fr;45.767177, 4.833576
2014;M0682;Normandie;Granville;musée d'Art et d'Histoire de Granville;Terre Neuve, Terre neuvas;Manche;www.ville-granville.fr/a-voir-a-faire-a-granville/vie-culturelle-et-artistique/musee-dart-et-dhistoire/;48.837248, -1.602814
2014;M0720;Normandie;Le Havre;musée Malraux;Nicolas de Staël, lumières du nord, lumières du sud;Seine-Maritime;www.muma-lehavre.fr/;49.484796, 0.102188
2014;M0848;Nouvelle-Aquitaine;Chauvigny;musée archéologique et d'ethnographie locale;Vivre avec les dieux. Autour du sanctuaire du Gué de Sciaux;Vienne;www.chauvigny-patrimoine.fr/Musees/musee_traditions_populaires_archeologie.php;46.57103543157692, 0.6478487283875319
2014;M0476;Occitanie;Montpellier;musée Fabre;François-André Vincent, un artiste entre Fragonard et David;Hérault;museefabre.montpellier3m.fr/;43.61135, 3.880685
2014;M0562;Occitanie;Toulouse;musée des Augustins;Benjamin Constant et l’Orientalisme;Haute-Garonne;www.augustins.org/fr/accueil;43.600562, 1.445904
2014;M0743;Pays-de-la-Loire;Nantes;musée des beaux-arts;Fernand Léger, reconstruire le réel, 1924-1946;Loire-Atlantique;museedartsdenantes.nantesmetropole.fr/home.html;47.219276, -1.547096
2024;M0339;Bourgogne Franche-Comté;Ornans;musée Courbet;COLOSSES. Lutteurs, culturistes et costauds dans les arts visuels;Doubs;www.musee-courbet.fr/;47.104874, 6.147697
2024;M0639;Hauts-de-France;Villeneuve d’Ascq;LaM musée d’art moderne, d’art contemporain et d’art brut;Marisa Merz;Nord;www.musee-lam.fr/fr;50.637497, 3.148587
2024;M7026;Nouvelle-Aquitaine;Bordeaux;muséum d'histoire naturelle;Migrations du vivant;Gironde;www.museum-bordeaux.fr;44.848154, -0.580085
2024;M0551;Occitanie;Rodez;musée Fenaille;Éthiopie, la vallée des stèles;Aveyron;musee-fenaille.rodezagglo.fr/;44.349201, 2.576408
2024;M0563;Occitanie;Toulouse;musée Saint-Raymond;Cathares. Toulouse dans la croisade;Haute-Garonne;saintraymond.toulouse.fr/;43.608897, 1.441776
2023;M0812;Hauts-de-France;Amiens;musée de Picardie;La Somme des Préhistoires;Somme;www.amiens.fr/Vivre-a-Amiens/Culture-Patrimoine/Etablissements-culturels/Musee-de-Picardie/Histoire-du-Musee-de-Picardie;49.890413, 2.295968
2023;M0798;Hauts-de-France;Beauvais;MUDO - musée de l'Oise;De rêve et de lumière : l’Antiquité selon Emile-René Ménard;Oise;mudo.oise.fr/;49.432788, 2.080444
2023;M1065;Martinique;Fort-de-France;musée d'archéologie précolombienne et de préhistoire de Martinique;Les canots sans frontière de la mer Caraïbe;Martinique;www.martinique.org/node/24376/PCUMAR972V5000OQ/detail/fort-de-france/musee-departemental-d-archeologie-et-de-prehistoire-de-la-martinique;14.60331, -61.068675
2023;M0937;Provence-Alpes-Côte d’Azur;Hyères;musée municipal;Man Ray, le beau temps;Var;www.hyeres.fr/musee-des-cultures-et-du-paysage;43.119997, 6.130519
2022;M0121;Auvergne-Rhône-Alpes;Clermont-Ferrand;musée d’art Roger Quilliot;Sur les pas de Dubuffet en Auvergne;Puy-de-Dôme;www.clermontmetropole.eu/bouger-se-divertir/le-dynamisme-culturel/les-musees-de-clermont-auvergne-metropole/marq-musee-dart-roger-quilliot/;45.793027, 3.07827
2022;M1036;Auvergne-Rhône-Alpes;Lyon;Lugdunum-musée et théâtres romains;En piste ! Dans les coulisses des spectacles romains;Rhône;lugdunum.grandlyon.com/fr/;45.760529, 4.82004
2022;M0143;Bourgogne Franche-Comté;Montbard;musée Buffon;Penser la nature, tous concernés;Côte-d'Or;www.musee-parc-buffon.fr/;47.62578588114577, 4.336985936365956
2022;M0016;Grand-Est;Strasbourg;musée d’art moderne et contemporain;SurréAlice;Bas-Rhin;www.musees.strasbourg.eu/musee-d-art-moderne-et-contemporain;48.579654, 7.736231
2022;M1098;Grand-Est;Strasbourg;musée Tomi Ungerer;SurréAlice;Bas-Rhin;www.musees.strasbourg.eu/musee-tomi-ungerer;48.585747, 7.755028
2022;M0637;Hauts-de-France;Tourcoing;MUba Eugène Leroy Tourcoing;Eugène Leroy et le Nord;Nord;www.muba-tourcoing.fr/;50.724594, 3.162878
2022;M0563;Occitanie;Toulouse;musée Saint-Raymond;Le Mystère Mithra, plongée au cœur d’un culte romain;Haute-Garonne;saintraymond.toulouse.fr/;43.608897, 1.441776
2021;M1069;La Réunion;Saint-Denis de La Réunion;musée Léon Dierx;Résonances : la hiérarchie des genres… L'art du dessin en France durant la première moitié du XIXe siècle;La Réunion;www.departement974.fr/actualite/musee-leon-dierx-musee-de-france-patrimoine-departemental;-20.883698, 55.450251
2020;M1178;Grand-Est;Châlons-en-Champagne;musée du cloître de Notre-Dame-en-Vaux;Léon Bourgeois;Marne;www.chalonsenchampagne.fr/culture-et-tourisme/a-votre-service/musees-municipaux;48.956391, 4.364203
2020;M1068;La Réunion;Piton-Saint-Leu;musée agricole et industriel Stella Matutina;Résonances – Le travail à la Réunion et en Europe sous l'Ancien Régime;Réunion;museesreunion.fr/musee-stella-matutina/;-21.201257, 55.296082
2020;M0720;Normandie;Le Havre;musée Malraux;Nuits Electriques;Seine-Maritime;www.muma-lehavre.fr/;49.484796, 0.102188
2020;M0820;Nouvelle-Aquitaine;Angoulême;"musée de la bande dessinée - centre national de la bande dessinée et de l'image";De Popeye à Persépolis – Culture populaire, bande dessinée et animation;Charente;www.citebd.org/;45.65559977477438, 0.15122268049296822
2020;M0066;Nouvelle-Aquitaine;Bordeaux;musée des arts décoratifs et du design;Sneakers, le design à nos pieds;Gironde;madd-bordeaux.fr/;44.838956, -0.579686
2019;M0364;Île-de-France;Paris;musée d'Art et d'Histoire du Judaïsme;Helena Rubinstein. L’aventure de la Beauté;Paris;www.mahj.org/;48.86095, 2.355608
2019;M0488;Occitanie;Céret;musée d'art moderne;André Masson, une mythologie del'être et de la nature;Pyrénées-Orientales;www.musee-ceret.com/;42.485799, 2.74849
2019;M0472;Occitanie;Lattes;musée archéologique;L’aventure phocéenne. Grecs, Ibères et Gaulois en Mediterranée nord - occidentale;Hérault;museearcheo.montpellier3m.fr/;43.566659, 3.90858
2018;M0321;Grand-Est;Langres;musée d'art et d'histoire;Langres à la Renaissance;Haute-Marne;www.musees-langres.fr/;47.865268, 5.333286
2018;M0617;Hauts-de-France;Cassel;musée départemental de Flandre;Entre Rubens et Van Dyck : Gaspar De Crayer;Nord;museedeflandre.fr/;50.799755, 2.48621
2017;M0346;Bourgogne-Franche-Comté;Lons-le-Saunier;musée d'archéologie;Bric-à-brac pour les Dieux ? Les dépôts d’objets métalliques à l’âge du Bronze;Jura;www.lonslesaunier.fr/les-musees/musee-darcheologie/;46.684566, 5.579336
2017;M1199;Bourgogne-Franche-Comté;Saint-Léger-sous-Beuvray;musée de Bibracte;Mont Beuvray, La Champagne celte;Saône-et-Loire;www.bibracte.fr/;46.934539, 4.062979
