nom_du_jardin;code_postal;region;departement;adresse_complete;adresse_de_l_entree_du_public;numero_et_libelle_de_la_voie;complement_d_adresse;commune;code_insee;code_insee_departement;code_insee_region;latitude;longitude;site_internet_et_autres_liens;types;annee_d_obtention;description;auteur_nom_de_l_illustre;identifiant_deps;identifiant_origine;accessible_au_public;conditions_d_ouverture;equipement_precision;date_de_creation;date_de_maj;coordonnees_geographiques
Parc agricole et paysager du Chédal;19230;Nouvelle-Aquitaine;Corrèze;2 Chem. du Chédal, 19230 Ségur-le-Château, France;2 Chem. du Chédal, 19230 Ségur-le-Château, France;2 Chem. du Chédal;;Ségur-le-Château;19254;19;75.0;45.431922;1.30256;"[""https://www.tourismecorreze.com/fr/tourisme_detail/parc_agricole_et_paysager_du_chedal.html""]";Parc paysager,Jardin privé;2015;Situé à l’orée du village médiéval de Ségur en Corrèze, le parc agricole et paysager du Chédal a été élaboré entre 1860 et 1880, comme en témoignent le Séquoïadendron gigantum et le Thuya plicata zebrina. Après les dégâts causés par la tempête de 1999, Marc Boisseuil fit planter 200 chênes venus du monde entier.;;JARD_19254_0001;MHR_75_JR0056;"[""ouvert""]";"[""de jour""]";;2020-12-11 13:15:26;2022-12-20 18:03:59;45.431922, 1.30256
Jardin de la Commanderie Peyrassol;83340;Provence-Alpes-Côte d'Azur;Var;280 Perdigon, 83340 Flassans-sur-Issole, France;280 Perdigon, 83340 Flassans-sur-Issole, France;280 Perdigon;;Flassans-sur-Issole;83057;83;93.0;43.366349;6.20823;"[""https://www.peyrassol.com""]";Jardin contemporain,Jardin privé;2017;Véritable musée à ciel ouvert, la Commanderie de Peyrassol accueille une collection permanente de sculptures qui vient enrichir sa sublime collection d’art contemporain, et côtoyer les sculptures monumentales de Daniel Buren, Dubuffet, Bertrand Lavier, et bien d’autres, qui peuplent de leur vision du monde ce lieu hors du temps au milieu des vignes.;;JARD_83057_0001;MHR_93_JR0036;"[""ouvert""]";"[""à l’année"", ""de jour""]";;2020-06-08 09:24:00;2022-12-21 12:46:16;43.366349, 6.20823
Jardin de la Borde;89130;Bourgogne-Franche-Comté;Yonne;La Borde, 89130 Leugny, France;La Borde, 89130 Leugny, France;La Borde;;Leugny;89221;89;27.0;47.684964;3.357245;"[""https://www.lbmh.fr/le-jardin/"", ""https://www.facebook.com/La-Borde-168366229861567/"", ""https://twitter.com/LaBorde89_LBMH""]";Jardin contemporain,Jardin de collection,Jardin privé;2013;"Cette création, commencée en 1997 d'un jardin avec 6 thèmes sur 7 hectares de pré, présente un arboretum, un bois avec mare, un verger, un potager, une roseraie et un jardin à la française.Les thèmes se sont constitués progressivement en gardant à l'esprit le souci d'intégrer l'ensemble dans la nature environnante.";;JARD_89221_0001;MHR_27_JR0014;[];[];;2020-12-11 13:14:39;2022-07-22 10:28:04;47.684964, 3.357245
Domaine de la Malmaison;92500;Île-de-France;Hauts-de-Seine;15 Rue du Château, 92500 Rueil-Malmaison, France;15 Rue du Château, 92500 Rueil-Malmaison, France;15 Rue du Château;;Rueil-Malmaison;92063;92;11.0;48.87558;2.180981;"[""http://www.chateau-malmaison.fr""]";Parc paysager,Jardin de collection,Jardin public;2004;D'une superficie de 6 hectares, le parc reflète encore l'attention que lui portait l'impératrice Joséphine qui en confia le dessin et la réalisation à l'architecte Berthault. Statues, monuments, rivière, cascade, cèdre dit de Marengo et roses anciennes rappellent la célébrité que connut ce jardin du temps de Joséphine.;;JARD_92063_0001;MHR_11_JR0008;[];[];"maison des illustres; monument historique; musee de france";;2022-07-22 10:28:14;48.87558, 2.180981
Jardin des sculptures;76780;Normandie;Seine-Maritime;1790 Le Hamelet, 76780 Bois-Guilbert, France;1790 Le Hamelet, 76780 Bois-Guilbert, France;1790 Le Hamelet;;Bois-Guilbert;76107;76;28.0;49.527846;1.412807;"[""http://www.lejardindessculptures.com"", ""https://www.instagram.com/jardin_sculptures_boisguilbert/""]";Parc paysager,Jardin contemporain,Jardin privé;2015;Parc paysager de 7 hectares. Vaste espace de poésie créé par Jean-Marc de Pas, sculpteur paysagiste où 70 œuvres en bronze , résine ou ciment jalonnent la promenade à travers différents espaces symboliques (mare, cloître, labyrinthe).;;JARD_76107_0001;MHR_28_JR0037;[];[];maison des illustres;;2022-07-22 10:28:44;49.527846, 1.412807
Jardins secrets;46000;Occitanie;Lot;67 Bd Léon Gambetta, 46000 Cahors, France;67 Bd Léon Gambetta, 46000 Cahors, France;67 Bd Léon Gambetta;;Cahors;46042;46;76.0;44.447482;1.440388;"[""http://www.tourisme-cahors.fr/decouvrir/pierre-et-histoire/visiter-cahors/jardins-secrets"", ""https://www.facebook.com/cahorstourisme""]";Jardin contemporain,Jardin public;2006;Occupant places, placettes ou encoignures de ruelles, vingt-cinq jardins à deviner, chacun mis en scène sur un thème spécifique relié au passé médiéval de Cahors et mettant en valeur son patrimoine monumental.;;JARD_46042_0001;MHR_76_JR0025;[];[];patrimoine mondial de lunesco;2020-12-11 13:16:28;2022-07-22 10:28:18;44.447482, 1.440388
Jardins du château de Bouges;36110;Centre-Val de Loire;Indre;7 Rue du Château, 36110 Bouges-le-Château, France;7 Rue du Château, 36110 Bouges-le-Château, France;7 Rue du Château;;Bouges-le-Château;36023;36;24.0;47.041138;1.673144;"[""http://www.bouges.monuments-nationaux.fr""]";Jardin régulier,Parc paysager,Jardin public;2004;Parc paysager avec arboretum, étang et jardins dans l'esprit du XVIIIe siècle (domaine de 85 ha, jardins 1 hectare).;;JARD_36023_0001;MHR_24_JR0009;[];[];monument historique;2021-05-19 18:40:20;2022-07-22 10:27:50;47.041138, 1.673144
Jardin de l'écomusée de la Guadeloupe;97115;Guadeloupe;Guadeloupe;Route de Sofaia 97115 Sainte-Rose, France;Route de Sofaia, 97115 Sainte-Rose, France;Route de Sofaia;;Sainte-Rose;97129;971;1.0;16.312643305343;-61.705427439948;"[""https://www.guadeloupe.fr/patrimoine/musees/ecomusee-creole""]";Jardin de collection,Jardin vivrier;2006;Le jardin de l'éco-musée de la Guadeloupe a été aménagé sur une parcelle familiale d'un demi hectare. Un circuit en boucle permet de traverser différents espaces : jardin de plantes médicinales, aromatiques et culinaires, vitrines des communes de Guadeloupe, atelier pédagogique, allée de la civilisation caribéenne, circuit des épices... En 2008, le jardin créole a intégré un écomusée constitué de cases muséographiées disposées dans le parcours.;;JARD_97129_0001;MHR_01_JR0005;"[""ouvert""]";"[""saisonnière""]";;2022-03-09 12:55:02;2022-12-15 15:37:58;16.312643305343, -61.705427439948
Parc du château d’Arlay et jardin des jeux;39140;Bourgogne-Franche-Comté;Jura;5192C Rue du Bourg Dessus, 39140 Arlay, France;5192C Rue du Bourg Dessus, 39140 Arlay, France;5192C Rue du Bourg Dessus;;Arlay;39017;39;27.0;46.759501;5.540479;"[""http://www.arlay.com"", ""https://www.facebook.com/chateauarlay"", ""https://www.instagram.com/chateau_arlay/""]";Parc paysager,Jardin contemporain,Jardin vivrier,Jardin privé;2005;"Réalisé à partir de 1775, le parc du château d’Arlay est une parfaite illustration de l’esprit de divertissement de cette époque, avec son théâtre de verdure et son boulingrin au coeur des vestiges de la forteresse médiévale, et ses jeux d’ombre et de lumière de la ""cascade verte"". C’est aussi le thème du jeu qu’évoque le ""jardin des jeux"", créé en 1996, où s’entremêlent harmonieusement fleurs, fruits et légumes.";;JARD_39017_0001;MHR_27_JR0022;[];[];monument historique;2020-12-11 13:17:23;2022-07-22 10:28:17;46.759501, 5.540479
Jardin de la Seigneurie;65700;Occitanie;Hautes-Pyrénées;15 Rue du Gén de Gaulle, 65700 Maubourguet, France;15 Rue du Gén de Gaulle, 65700 Maubourguet, France;15 Rue du Gén de Gaulle;;Maubourguet;65304;65;76.0;43.47072;0.035841;"[""https://www.laseigneuriedemaubourguet.com/accueil""]";Jardin contemporain,Jardin privé;2020;"La propriété date pour son origine de 1825/1830, puis après des ajouts par achats de parcelles adjacentes et ou héritages, on arrive en 1850/1860 à la fin de la construction de la vaste bâtisse, telle qu'elle subsiste encore aujourd'hui ; la propriété est restée dans la même famille jusqu'en 1992 année où nous en sommes devenus propriétaires. Ce que l'on peut appeler aujourd'hui ""le parc"", n'était qu'une friche avec un superbe Cèdre du Liban malheureusement arraché lors des travaux d'élargissement du lit de l'Adour en 2001, deux ou trois palmiers à front de rue et quatre platanes malades, irrémédiablement condamnés à l'abatage. L'espace a été repensé, redessiné et replanté de A à Z. Des chemins ont été créés. Ce jardin de ville, aux dimensions sommes toutes restreintes, offre aujourd'hui une végétation diversifiée par leurs essences (beaucoup d'espèces méditerranéennes) et ordonnée ; chaque espèce est taillée, sculptée, offrant au regard des perspectives étonnantes. Certains végétaux détonnent de par leur hauteur surprenante procurant une impression de grandeur verticale et n'oublions pas les vedettes des lieux, les plus de 145 palmiers devenus adultes appelés: trachycarpus fortunei, ou palmiers chanvre, Phoenix, dracaenas...";;JARD_65304_0001;MHR_76_JR0039;"[""ouvert""]";"[""saisonnière"", ""de jour""]";;2020-12-11 13:15:38;2022-12-21 11:37:59;43.47072, 0.035841
