code_region;region;code_departement;departement;commune;autres_communes_dans_le_spr;code_insee;population;nombre_de_spr;numero_du_spr;spr_initial_regime_de_creation;spr_initial_date_de_creation;nombre_de_plans;type_de_plan_en_vigueur;evolution_du_type_de_plan;date_du_plan_en_vigueur
84;AUVERGNE-RHÔNE-ALPES;03;ALLIER;BOURBON-L'ARCHAMBAULT;;03036;2632;1.0;SPR84-08;ZPPAUP;2010-02-26;1.0;ZPPAUP;ZPPAUP;2010-02-26
84;AUVERGNE-RHÔNE-ALPES;03;ALLIER;SAINT-PRIX;SAINT-PRIX et LAPALISSE;03257;815;;SPR84-12;ZPPAUP;2006-02-21;;ZPPAUP;ZPPAUP;2006-02-21
84;AUVERGNE-RHÔNE-ALPES;03;ALLIER;SOUVIGNY;;03275;1878;1.0;SPR84-16;ZPPAUP;1999-07-26;1.0;ZPPAUP;ZPPAUP (avap à l'étude);1999-07-26
84;AUVERGNE-RHÔNE-ALPES;07;ARDÈCHE;AJOUX;;07004;79;1.0;SPR84-19;AVAP;2013-10-25;1.0;AVAP;AVAP;2013-10-25
84;AUVERGNE-RHÔNE-ALPES;07;ARDÈCHE;VILLEUNEUVE-DE-BERG;;07341;3073;1.0;SPR84-30;AVAP;2017-10-17;1.0;AVAP;AVAP;2017-10-17
84;AUVERGNE-RHÔNE-ALPES;07;ARDÈCHE;VIVIERS;;07346;3787;1.0;SPR84-31;secteur S;1982-01-12;1.0;PSMV;PSMV approuvé;2007-05-30
84;AUVERGNE-RHÔNE-ALPES;26;DRÔME;GRIGNAN;;26146;1592;1.0;SPR84-42;ZPPAUP;2004-06-07;1.0;AVAP;AVAP (ex zppaup);2016-10-14
84;AUVERGNE-RHÔNE-ALPES;26;DRÔME;LES TOURRETTES;;26353;1043;1.0;SPR84-45;ZPPAUP;1997-09-15;1.0;AVAP;AVAP (ex zppaup);2015-02-22
84;AUVERGNE-RHÔNE-ALPES;26;DRÔME;MIRMANDE;;26185;598;1.0;SPR84-48;ZPPAUP;1989-02-07;1.0;ZPPAUP;ZPPAUP (avap à l'étude);1989-02-07
84;AUVERGNE-RHÔNE-ALPES;26;DRÔME;ROCHEBRUNE;;26269;;;;;;;;AVAP à l'étude;
84;AUVERGNE-RHÔNE-ALPES;38;ISÈRE;HIÈRES-SUR-AMBY;;38190;1219;1.0;SPR84-62;ZPPAUP;2000-11-28;1.0;AVAP;AVAP (ex zppaup);2020-01-23
84;AUVERGNE-RHÔNE-ALPES;38;ISÈRE;REVEL-TOURDAN;;38335;1092;1.0;SPR84-66;ZPPAUP;2007-10-10;1.0;ZPPAUP;ZPPAUP (avap à l'étude);2007-10-10
84;AUVERGNE-RHÔNE-ALPES;38;ISÈRE;SAINT-ANTOINE-L'ABBAYE;;38359;1185;1.0;SPR84-67;ZPPAUP;1989-12-18;1.0;ZPPAUP;ZPPAUP;1989-12-18
84;AUVERGNE-RHÔNE-ALPES;42;LOIRE;LA PACAUDIÈRE;;42163;1077;1.0;SPR84-80;AVAP;2015-11-10;1.0;AVAP;AVAP;2015-11-10
84;AUVERGNE-RHÔNE-ALPES;42;LOIRE;POUILLY-LÈS-FEURS;;42175;1274;1.0;SPR84-86;ZPPAUP;2011-11-22;1.0;ZPPAUP;ZPPAUP;2011-11-22
84;AUVERGNE-RHÔNE-ALPES;42;LOIRE;RIVE-DE-GIER;;42186;15299;1.0;SPR84-88;AVAP;2012-08-31;1.0;AVAP;AVAP;2012-08-31
84;AUVERGNE-RHÔNE-ALPES;42;LOIRE;SAINT-GERMAIN-LAVAL;;42230;;;;;;;;AVAP à l'étude;
84;AUVERGNE-RHÔNE-ALPES;42;LOIRE;SAINT-MARCELLIN-EN-FOREZ;;42256;4898;1.0;SPR84-100;AVAP;2011-11-14;1.0;AVAP;AVAP;2011-11-14
84;AUVERGNE-RHÔNE-ALPES;43;HAUTE-LOIRE;ALLEGRE;;43003;925;1.0;SPR84-101;ZPPAUP;2000-04-12;1.0;AVAP;AVAP (ex zppaup);2013-05-03
84;AUVERGNE-RHÔNE-ALPES;43;HAUTE-LOIRE;BRIOUDE;;43040;7081;1.0;SPR84-103;ZPPAUP;1994-12-21;1.0;AVAP;AVAP (ex zppaup);2020-02-27
84;AUVERGNE-RHÔNE-ALPES;63;PUY-DE-DÔME;AMBERT;;63003;6923;1.0;SPR84-109;ZPPAUP;2004-08-31;1.0;ZPPAUP;ZPPAUP;2004-08-31
84;AUVERGNE-RHÔNE-ALPES;63;PUY-DE-DÔME;PONT-DU-CHÂTEAU;;63284;11736;1.0;SPR84-121;ZPPAUP;2007-01-31;1.0;ZPPAUP;ZPPAUP (avap à l'étude);2007-01-31
84;AUVERGNE-RHÔNE-ALPES;63;PUY-DE-DÔME;SAINT-PIERRE-LA-BOURLHONNE;;63384;131;1.0;SPR84-124;ZPPAUP;1997-12-26;1.0;ZPPAUP;ZPPAUP;1997-12-26
84;AUVERGNE-RHÔNE-ALPES;63;PUY-DE-DÔME;VIC-LE-COMTE;;63457;5304;1.0;SPR84-127;ZPPAUP;2008-01-15;1.0;AVAP;AVAP (ex zppaup);2014-05-22
84;AUVERGNE-RHÔNE-ALPES;69;RHÔNE;ALBIGNY-SUR-SAÔNE;ALBIGNY-SUR-SAÔNE, NEUVILLE-SUR-SAÔNE;69003;2919;1.0;SPR84-128;ZPPAUP;2010-01-19;1.0;ZPPAUP;ZPPAUP (avap à l'étude);2010-01-19
84;AUVERGNE-RHÔNE-ALPES;69;RHÔNE;ANSE;;69009;7332;1.0;SPR84-129;ZPPAUP;2005-12-14;1.0;AVAP;AVAP (ex zppaup);2015-12-07
84;AUVERGNE-RHÔNE-ALPES;69;RHÔNE;VILLEURBANNE – Les Gratte-Ciels;;69266;148754;1.0;SPR84-139;ZPPAUP;2010-04-22;1.0;AVAP;AVAP (ex zppaup);2013-11-18
84;AUVERGNE-RHÔNE-ALPES;74;HAUTE-SAVOIE;BONNE;;74040;1733;1.0;SPR84-151;LCAP;2022-05-13;;;;
27;BOURGOGNE- FRANCHE-COMTÉ;21;CÔTE-D’OR;ARNAY-LE-DUC;;21023;1464;1.0;SPR27-01;ZPPAUP;1998-06-02;1.0;ZPPAUP;ZPPAUP;1998-06-02
27;BOURGOGNE- FRANCHE-COMTÉ;21;CÔTE-D’OR;CHOREY-LÈS-BEAUNE;;21173;;;;;;;;AVAP à l'étude;
27;BOURGOGNE- FRANCHE-COMTÉ;21;CÔTE-D’OR;COUCHEY;;21200;1117;1.0;SPR27-76;AVAP;2021-05-31;1.0;AVAP;AVAP;2021-05-31
27;BOURGOGNE- FRANCHE-COMTÉ;21;CÔTE-D'OR;DIJON;;21231;160204;1.0;SPR27-05;secteur S;1966-08-19;1.0;PSMV;PSMV approuvé;1990-02-08
27;BOURGOGNE- FRANCHE-COMTÉ;21;CÔTE-D’OR;FIXIN;;21265;750;1.0;SPR27-77;AVAP;2021-04-15;1.0;AVAP;AVAP;2021-04-15
27;BOURGOGNE- FRANCHE-COMTÉ;21;CÔTE-D’OR;FONTAINE-LÈS-DIJON;;21278;9072;1.0;SPR27-07;ZPPAUP;2000-10-21;1.0;AVAP;AVAP (ex zppaup);2014-12-09
27;BOURGOGNE- FRANCHE-COMTÉ;21;CÔTE-D’OR;SAINTE-MARIE-LA-BLANCHE;;21558;913;1.0;SPR27-11;AVAP;2019-10-14;1.0;AVAP;AVAP;2019-10-14
27;BOURGOGNE- FRANCHE-COMTÉ;21;CÔTE-D'OR;SEMUR-EN-AUXOIS *;;21603;4492;1.0;SPR27-14;secteur S;1998-12-29;1.0;PSMV;PSMV approuvé;2013-02-06
27;BOURGOGNE- FRANCHE-COMTÉ;25;DOUBS;BESANCON;;25056;119249;1.0;SPR27-16;secteur S;1964-12-31;1.0;PSMV;PSMV révisé;2011-05-24
27;BOURGOGNE- FRANCHE-COMTÉ;25;DOUBS;BESANCON;;25056;;;SPR27-16;secteur S;1994-12-01;1.0;PSMV;PSMV approuvé;2012-02-13
27;BOURGOGNE- FRANCHE-COMTÉ;39;JURA;ARBOIS;;39013;3544;1.0;SPR27-20;ZPPAUP;1994-01-26;1.0;PVAP;PVAP (ex zppaup);2022-07-05
27;BOURGOGNE- FRANCHE-COMTÉ;39;JURA;DOLE *;;39198;24606;1.0;SPR27-26;secteur S;1967-06-23;1.0;PSMV;PSMV approuvé;1993-12-27
27;BOURGOGNE- FRANCHE-COMTÉ;39;JURA;LONS-LE-SAUNIER;;39300;18023;1.0;SPR27-28;ZPPAUP;2004-01-22;1.0;ZPPAUP;ZPPAUP;2004-01-22
27;BOURGOGNE- FRANCHE-COMTÉ;39;JURA;NOZEROY;;39391;450;1.0;SPR27-29;ZPPAUP;2001-11-16;1.0;ZPPAUP;ZPPAUP;2001-11-16
27;BOURGOGNE- FRANCHE-COMTÉ;39;JURA;SAINT-AMOUR;;39475;2485;1.0;SPR27-32;ZPPAUP;1998-07-23;1.0;ZPPAUP;ZPPAUP;1998-07-23
27;BOURGOGNE- FRANCHE-COMTÉ;58;NIÈVRE;LA CHARITÉ-SUR-LOIRE;;58059;4972;1.0;SPR27-41;ZPPAUP;2005-06-23;1.0;ZPPAUP;ZPPAUP;2005-06-23
27;BOURGOGNE- FRANCHE-COMTÉ;70;HAUTE-SAÔNE;BUCEY-LES-GY;;70104;606;1.0;SPR27-43;AVAP;2016-08-29;1.0;AVAP;AVAP;2016-08-29
27;BOURGOGNE- FRANCHE-COMTÉ;70;HAUTE-SAÔNE;FONDREMAND;;70239;204;1.0;SPR27-47;ZPPAUP;2006-01-03;1.0;ZPPAUP;ZPPAUP;2006-01-03
27;BOURGOGNE- FRANCHE-COMTÉ;70;HAUTE-SAÔNE;GRAY;;70279;5916;1.0;SPR27-48;ZPPAUP;1996-04-02;1.0;ZPPAUP;ZPPAUP;1996-04-02
27;BOURGOGNE- FRANCHE-COMTÉ;70;HAUTE-SAÔNE;MARNAY;;70334;1503;1.0;SPR27-50;ZPPAUP;1994-07-18;1.0;AVAP;AVAP (ex zppaup);2013-02-11
